index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
1, 2023/03/20 01:33:01.507, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:34:01.508, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:34:01.510, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:35:01.511, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:35:01.512, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:36:01.514, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:36:01.516, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:37:01.517, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:37:01.519, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:38:01.520, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:38:01.522, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:39:01.523, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:39:01.524, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:40:01.526, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:40:01.527, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:41:01.529, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:41:01.530, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:42:01.532, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:42:01.533, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:43:01.535, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:43:01.536, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:44:01.538, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:44:01.539, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:45:01.541, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:45:01.542, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:46:01.544, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:46:01.545, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:47:01.547, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:47:01.548, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:48:01.550, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:48:01.551, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:49:01.553, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:49:01.554, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:50:01.556, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:50:01.557, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:51:01.559, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:51:01.560, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:52:01.562, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:52:01.563, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:53:01.565, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:53:01.566, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:54:01.568, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:54:01.569, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:55:01.571, 21.65 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:55:01.572, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:56:01.574, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:56:01.575, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:57:01.576, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:57:01.577, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:58:01.579, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:58:01.580, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 01:59:01.582, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 01:59:01.583, 1.07 W, 35, 0 %, 21 MiB
0, 2023/03/20 02:00:01.585, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:00:01.586, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 02:01:01.588, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 02:01:01.589, 1.07 W, 34, 0 %, 21 MiB
