index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/17 01:44:04.091, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:44:04.100, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:45:04.118, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:45:04.123, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:46:04.137, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:46:04.140, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:47:04.157, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:47:04.172, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:48:04.196, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:48:04.205, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:49:04.227, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:49:04.247, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:50:04.270, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:50:04.294, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:51:04.314, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:51:04.321, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:52:04.341, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:52:04.352, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:53:04.375, 24.65 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:53:04.385, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:54:04.414, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:54:04.434, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:55:04.440, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:55:04.443, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:56:04.465, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:56:04.493, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:57:04.498, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:57:04.518, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:58:04.523, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:58:04.527, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 01:59:04.545, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 01:59:04.553, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:00:04.558, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:00:04.581, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:01:04.587, 24.67 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:01:04.590, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:02:04.613, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:02:04.626, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:03:04.631, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:03:04.649, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:04:04.680, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 02:04:04.683, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 02:05:04.703, 24.84 W, 45, 0 %, 0 MiB
