index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/16 03:16:04.295, 258.80 W, 62, 100 %, 4424 MiB
0, 2023/03/16 03:17:04.297, 256.98 W, 62, 100 %, 4448 MiB
0, 2023/03/16 03:18:04.299, 254.65 W, 62, 100 %, 4448 MiB
0, 2023/03/16 03:19:04.300, 254.94 W, 62, 100 %, 4448 MiB
0, 2023/03/16 03:20:04.302, 260.42 W, 63, 100 %, 4448 MiB
0, 2023/03/16 03:21:04.304, 269.01 W, 64, 100 %, 4417 MiB
0, 2023/03/16 03:22:04.306, 260.60 W, 64, 100 %, 4385 MiB
0, 2023/03/16 03:23:04.308, 263.95 W, 64, 100 %, 4388 MiB
0, 2023/03/16 03:24:04.310, 262.68 W, 64, 100 %, 4390 MiB
0, 2023/03/16 03:25:04.312, 265.65 W, 64, 100 %, 4390 MiB
0, 2023/03/16 03:26:04.313, 266.45 W, 64, 100 %, 4390 MiB
0, 2023/03/16 03:27:04.318, 264.49 W, 64, 100 %, 4390 MiB
0, 2023/03/16 03:28:04.320, 260.11 W, 63, 100 %, 4390 MiB
0, 2023/03/16 03:29:04.322, 261.81 W, 64, 100 %, 4390 MiB
0, 2023/03/16 03:30:04.325, 264.42 W, 64, 100 %, 4390 MiB
0, 2023/03/16 03:31:04.326, 259.96 W, 64, 100 %, 4383 MiB
0, 2023/03/16 03:32:04.328, 256.70 W, 63, 100 %, 4356 MiB
0, 2023/03/16 03:33:04.330, 260.63 W, 63, 100 %, 4356 MiB
0, 2023/03/16 03:34:04.333, 264.58 W, 64, 100 %, 4378 MiB
0, 2023/03/16 03:35:04.335, 252.48 W, 63, 100 %, 4401 MiB
0, 2023/03/16 03:36:04.337, 264.28 W, 63, 100 %, 4368 MiB
0, 2023/03/16 03:37:04.339, 257.73 W, 64, 96 %, 4368 MiB
0, 2023/03/16 03:38:04.341, 253.38 W, 63, 100 %, 4382 MiB
0, 2023/03/16 03:39:04.342, 256.77 W, 63, 100 %, 4377 MiB
0, 2023/03/16 03:40:04.344, 265.21 W, 63, 100 %, 4377 MiB
0, 2023/03/16 03:41:04.346, 254.89 W, 63, 100 %, 4405 MiB
0, 2023/03/16 03:42:04.348, 258.41 W, 63, 100 %, 4405 MiB
0, 2023/03/16 03:43:04.350, 256.05 W, 63, 100 %, 4376 MiB
0, 2023/03/16 03:44:04.352, 255.53 W, 63, 100 %, 4380 MiB
0, 2023/03/16 03:45:04.354, 260.12 W, 63, 100 %, 4381 MiB
0, 2023/03/16 03:46:04.363, 256.06 W, 63, 100 %, 4408 MiB
0, 2023/03/16 03:47:04.365, 256.95 W, 63, 100 %, 4408 MiB
0, 2023/03/16 03:48:04.367, 255.29 W, 63, 100 %, 4379 MiB
0, 2023/03/16 03:49:04.368, 257.26 W, 62, 100 %, 4403 MiB
0, 2023/03/16 03:50:04.370, 261.43 W, 63, 100 %, 4366 MiB
0, 2023/03/16 03:51:04.371, 269.57 W, 63, 100 %, 4386 MiB
0, 2023/03/16 03:52:04.374, 253.16 W, 62, 100 %, 4386 MiB
0, 2023/03/16 03:53:04.375, 252.78 W, 62, 100 %, 4386 MiB
0, 2023/03/16 03:54:04.376, 260.29 W, 63, 100 %, 4374 MiB
0, 2023/03/16 03:55:04.378, 252.83 W, 63, 99 %, 4400 MiB
0, 2023/03/16 03:56:04.380, 256.98 W, 64, 100 %, 4400 MiB
0, 2023/03/16 03:57:04.382, 258.65 W, 63, 100 %, 4370 MiB
0, 2023/03/16 03:58:04.384, 264.33 W, 64, 100 %, 4378 MiB
0, 2023/03/16 03:59:04.385, 261.74 W, 63, 100 %, 4399 MiB
0, 2023/03/16 04:00:04.387, 257.67 W, 64, 100 %, 4409 MiB
0, 2023/03/16 04:01:04.391, 257.26 W, 63, 100 %, 4409 MiB
0, 2023/03/16 04:02:04.393, 259.28 W, 62, 100 %, 4409 MiB
0, 2023/03/16 04:03:04.395, 257.24 W, 62, 100 %, 4409 MiB
0, 2023/03/16 04:04:04.396, 257.93 W, 62, 100 %, 4441 MiB
0, 2023/03/16 04:05:04.398, 260.41 W, 63, 100 %, 4447 MiB
0, 2023/03/16 04:06:04.399, 258.28 W, 64, 100 %, 4448 MiB
0, 2023/03/16 04:07:04.401, 256.78 W, 64, 100 %, 4451 MiB
0, 2023/03/16 04:08:04.403, 256.56 W, 63, 100 %, 4459 MiB
0, 2023/03/16 04:09:04.404, 258.39 W, 63, 100 %, 4477 MiB
0, 2023/03/16 04:10:04.406, 253.03 W, 63, 100 %, 4477 MiB
0, 2023/03/16 04:11:04.407, 257.35 W, 63, 100 %, 4477 MiB
0, 2023/03/16 04:12:04.410, 257.30 W, 63, 100 %, 4477 MiB
0, 2023/03/16 04:13:04.411, 259.85 W, 64, 100 %, 4388 MiB
0, 2023/03/16 04:14:04.412, 267.62 W, 64, 100 %, 4426 MiB
0, 2023/03/16 04:15:04.414, 266.92 W, 64, 100 %, 4426 MiB
0, 2023/03/16 04:16:04.415, 263.93 W, 64, 100 %, 4426 MiB
0, 2023/03/16 04:17:04.418, 265.73 W, 64, 100 %, 4426 MiB
0, 2023/03/16 04:18:04.419, 259.45 W, 63, 100 %, 4440 MiB
